order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD258958,ID0579994959,2019-11-15,Thompson,"[('Olivia x460', 2), ('pearTV', 2), ('Alcon 10', 2), ('Universe Note', 2)]",39870,81.68,-37.8027958,144.93642869999996,15,33971.18,Spring,False,1.4438,everything is perfect. got it on time and everything was perfect. the charger was european so it came with an adapter. works perfect.,True
ORD224285,ID0443297188,2019-11-22,Bakers,"[('Candle Inferno', 2), ('Thunder line', 1), ('Olivia x460', 2)]",5490,44.49,-37.8164844,145.00500300000004,0,5578.98,Spring,True,1.1225,no wifi can only download updates and other things on wifi and i don't get wifi most of the time where i am. that's why i have unlimited,False
ORD358711,ID0176704338,2019-05-22,Nickolson,"[('Universe Note', 2), ('Thunder line', 1), ('Lucent 330S', 2)]",11540,65.42,-37.8114441,144.9638582,15,9874.42,Autumn,False,0.9404,four stars good,True
ORD350988,ID0107156541,2019-06-06,Nickolson,"[('iAssist Line', 1), ('Lucent 330S', 1)]",3455,74.88,-37.8228754,144.9765218,5,3357.13,Winter,True,0.7764,i have been using this phone for 2 years now ... i have been using this phone for 2 years now and it is still going strong. battery lasts for days!,True
ORD096192,ID6167441075,2019-04-21,Nickolson,"[('iStream', 1), ('Candle Inferno', 2), ('Alcon 10', 1)]",9960,65.03,-37.8159152,144.964706,15,8531.03,Autumn,False,0.5201,"this was a replacement of an older version of inferno stick. i haven't tried the iassist voice part of this remote yet, but it works great.",True
ORD103484,ID0576830260,2019-06-02,Nickolson,"[('Candle Inferno', 2), ('Alcon 10', 1), ('Thunder line', 2)]",14170,65.95,-37.8202439,144.9853076,0,14235.95,Winter,True,1.3977,"wifi problems this phone like other toshika phones has serious wifi issues. even non flagship products from htc, olivia, huwaie don't have problems with wifi. it will connect but will not have internet while other devices on my network have no issues.",False
ORD050739,ID5556316824,2019-01-19,Thompson,"[('Olivia x460', 2), ('Alcon 10', 2), ('Thunder line', 2)]",24710,97.08,-37.80782429999999,144.93392880000005,25,18629.58,Summer,True,1.2755,"easy, fast and efficient.great lil tablet in this price range for anyone.",True
ORD228752,ID0650277209,2019-12-31,Bakers,"[('Toshika 750', 2), ('Lucent 330S', 2)]",11100,76.54,-37.8113936,144.9830234,10,10066.54,Summer,False,1.0849,easy to use this item was brought for a friend and it was well received and loved,True
ORD419151,ID0196913063,2019-02-12,Nickolson,"[('Universe Note', 2), ('iStream', 2)]",7200,63.74,-37.827708,144.95803610000004,10,6543.74,Summer,False,1.4333,worst alcon i ever bought anytime you took a picture on silent it still made a noise and they didn’t tell me that very disappointed,False
ORD164236,ID3144850718,2019-03-28,Nickolson,"[('Alcon 10', 1), ('iAssist Line', 1), ('Thunder line', 2)]",15535,32.735,-37.818105,144.9802333,15,13270.22,Autumn,False,0.9409,chubbiestech is the bomb i am very pleased with the seller: chubbiestech i bought two phones and they are nothing from new😍,True
ORD237080,ID4887670707,2019-08-30,Thompson,"[('iStream', 2), ('iAssist Line', 1), ('Thunder line', 2)]",6885,70.64,-37.8218638,144.93499609999995,5,6611.39,Winter,False,1.4744,great entry level phone. buy if 64 gb of storage is enough for you. what i dislike the most is that i can't use my storage card slot. the phone has dual sim and my sim was only recognized where the storage card goes.,True
ORD300207,ID0060653700,2019-10-14,Thompson,"[('Thunder line', 1), ('Candle Inferno', 1), ('iStream', 1), ('Alcon 10', 1)]",11710,70.52,-37.813514,144.94429519999997,15,10024.02,Spring,False,0.2613,"five stars perfect, almost near perfect condition. no complaints",True
